"household id","person id","trip id","pirpose","mode","total travel time","income","travel cost"
"275","1","2","0","2","196.6","222","20.783"
"310","2","2","0","3","323.8","1218","187.804"
"355","1","2","0","2","1378.2","1218","799.356"
"355","2","2","0","11","1306.9","1218","758.002"
"371","2","1","0","1","699.5","1218","405.710"
"374","1","1","0","1","937.6","1891","844.286"
"375","2","1","0","3","1983.8","7847","7412.799"
"397","3","1","0","3","1034.6","1218","600.068"
"402","2","2","0","1","1569.7","745","556.870"
"405","1","2","0","2","130.3","1218","75.574"
"405","4","1","0","1","253.6","0","0.000"
"422","19","1","0","7","821.9","0","0.000"
"426","2","1","0","3","486.6","945","218.970"
"431","1","1","0","2","1457.7","0","0.000"
"440","2","3","0","1","242.9","1125","130.125"
"494","1","5","0","2","218.4","1891","196.664"
"546","1","2","0","2","212.2","1518","153.390"
"736","3","1","0","3","1737.3","545","450.871"
"740","2","2","0","2","1313.1000000000001","745","465.838"
"754","20","4","0","3","889.2","0","0.000"
"813","1","1","0","2","173.2","7847","647.191"
"818","2","1","0","3","1228.0","1125","657.857"
"854","1","1","0","2","248.8","7847","929.683"
"860","1","1","0","1","567.0","1218","328.860"
"917","1","1","0","2","100.6","7847","375.909"
"923","1","2","0","3","912.6","358","155.577"
"946","2","3","0","1","1021.4","7847","3816.631"
"964","1","1","0","1","61.0","1518","44.094"
"1006","1","1","0","2","216.6","1518","156.571"
"1030","6","1","0","3","1115.9","745","395.879"
"422","1","1","0","11","206.2","0","0.000"
"422","8","1","0","11","206.2","0","0.000"
"422","12","1","0","2","206.2","1218","119.596"
"754","1","1","0","11","233.2","0","0.000"
"754","2","1","0","2","233.2","1125","124.929"
"754","15","1","0","11","233.2","0","0.000"
"754","24","1","0","11","233.2","0","0.000"
"953","2","1","0","3","751.8","1125","402.750"
"930","1","4","0","2","151.9","1125","81.375"
"494","1","6","0","2","294.6","1891","265.280"
"422","12","2","0","2","206.2","1218","119.596"
"509","1","3","0","2","222.9","358","37.999"
