O_Tz06,O_Sla06,O_Lga06,O_Ssd06,O_Sd06,O_State,D_Tz06,D_Sla06,D_Lga06,D_Ssd06,D_Sd06,D_Area,O_Zone06_abs,Dzn06_abs,Mode9,Freq,source not in tz,destination in tz,
327,4800,4800,505,5,0,287,7205,7200,505,5,1,1148000327,1172050287,6,4,#N/A,287,#N/A
327,4800,4800,505,5,0,292,7205,7200,505,5,1,1148000327,1172050292,6,4,#N/A,292,#N/A
341,4800,4800,505,5,0,558,6550,6550,510,5,1,1148000341,1165500558,6,4,#N/A,558,#N/A
344,4800,4800,505,5,0,520,6550,6550,510,5,1,1148000344,1165500520,6,3,#N/A,520,#N/A
344,4800,4800,505,5,0,276,7205,7200,505,5,1,1148000344,1172050276,6,3,#N/A,276,#N/A
345,4800,4800,505,5,0,283,7205,7200,505,5,1,1148000345,1172050283,6,3,#N/A,283,#N/A
1121,4901,4900,525,5,0,520,6550,6550,510,5,1,1149011121,1165500520,6,3,#N/A,520,#N/A
1124,4901,4900,525,5,0,283,7205,7200,505,5,1,1149011124,1172050283,6,4,#N/A,283,#N/A
1126,4901,4900,525,5,0,520,6550,6550,510,5,1,1149011126,1165500520,6,3,#N/A,520,#N/A
2865,5150,5150,565,5,0,278,7205,7200,505,5,1,1151502865,1172050278,6,1,#N/A,278,#N/A
360,5200,5200,505,5,0,521,6550,6550,510,5,1,1152000360,1165500521,6,3,#N/A,521,#N/A
361,5200,5200,505,5,0,508,6550,6550,510,5,1,1152000361,1165500508,6,4,#N/A,508,#N/A
362,5200,5200,505,5,0,278,7205,7200,505,5,1,1152000362,1172050278,6,3,#N/A,278,#N/A
366,5200,5200,505,5,0,287,7205,7200,505,5,1,1152000366,1172050287,6,3,#N/A,287,#N/A
370,5200,5200,505,5,0,520,6550,6550,510,5,1,1152000370,1165500520,6,3,#N/A,520,#N/A
370,5200,5200,505,5,0,558,6550,6550,510,5,1,1152000370,1165500558,6,3,#N/A,558,#N/A
370,5200,5200,505,5,0,278,7205,7200,505,5,1,1152000370,1172050278,6,3,#N/A,278,#N/A
371,5200,5200,505,5,0,270,7205,7200,505,5,1,1152000371,1172050270,6,4,#N/A,270,#N/A
372,5200,5200,505,5,0,270,7205,7200,505,5,1,1152000372,1172050270,6,4,#N/A,270,#N/A
372,5200,5200,505,5,0,278,7205,7200,505,5,1,1152000372,1172050278,6,2,#N/A,278,#N/A
374,5200,5200,505,5,0,287,7205,7200,505,5,1,1152000374,1172050287,6,3,#N/A,287,#N/A
375,5200,5200,505,5,0,278,7205,7200,505,5,1,1152000375,1172050278,6,2,#N/A,278,#N/A
377,5200,5200,505,5,0,276,7205,7200,505,5,1,1152000377,1172050276,6,1,#N/A,276,#N/A
377,5200,5200,505,5,0,277,7205,7200,505,5,1,1152000377,1172050277,6,2,#N/A,277,#N/A
379,5200,5200,505,5,0,288,7205,7200,505,5,1,1152000379,1172050288,6,4,#N/A,288,#N/A
380,5200,5200,505,5,0,520,6550,6550,510,5,1,1152000380,1165500520,6,4,#N/A,520,#N/A
380,5200,5200,505,5,0,277,7205,7200,505,5,1,1152000380,1172050277,6,3,#N/A,277,#N/A
380,5200,5200,505,5,0,294,7205,7200,505,5,1,1152000380,1172050294,6,3,#N/A,294,#N/A
384,5200,5200,505,5,0,278,7205,7200,505,5,1,1152000384,1172050278,6,4,#N/A,278,#N/A
387,5200,5200,505,5,0,277,7205,7200,505,5,1,1152000387,1172050277,6,4,#N/A,277,#N/A
387,5200,5200,505,5,0,283,7205,7200,505,5,1,1152000387,1172050283,6,3,#N/A,283,#N/A
391,5200,5200,505,5,0,288,7205,7200,505,5,1,1152000391,1172050288,6,5,#N/A,288,#N/A
2312,5350,5350,555,5,0,521,6550,6550,510,5,1,1153502312,1165500521,6,3,#N/A,521,#N/A
2321,5350,5350,555,5,0,509,6550,6550,510,5,1,1153502321,1165500509,6,3,#N/A,509,#N/A
2339,5950,5950,555,5,0,520,6550,6550,510,5,1,1159502339,1165500520,6,3,#N/A,520,#N/A
2362,5950,5950,555,5,0,520,6550,6550,510,5,1,1159502362,1165500520,6,3,#N/A,520,#N/A
