ID,activity_id,NAME,SUBURB,X,Y,TYPE,hotspotID,near_bus,near_train,note,travel_zone,note_entry
318,86521,South Coogee_ Malabar Rd nr Nymboida St,None,338980,6243852,Bus station,377,1,1,BUS_STOP,535,0
319,86528,South Coogee_ Moverly Rd nr South Coogee Primary,None,338574,6243815,Bus station,388,1,1,BUS_STOP,536,0
320,86529,South Coogee_ Moverly Rd opp South Coogee Primary,None,338557,6243815,Bus station,388,1,1,BUS_STOP,536,0
321,86530,South Coogee_ Elphinstone Rd nr Moverly Rd,None,338602,6244035,Bus station,388,1,1,BUS_STOP,536,0
322,86531,South Coogee_ Elphinstone Rd nr Jacaranda Pl,None,338586,6244050,Bus station,388,1,1,BUS_STOP,536,0
323,86538,South Coogee_ Malabar Rd nr Moverly Rd,None,338809,6244083,Bus station,396,1,1,BUS_STOP,535,0
324,86539,South Coogee_ Moverley Rd nr Malabar Rd,None,338777,6244088,Bus station,396,1,1,BUS_STOP,536,0
325,86540,South Coogee_ Malabar Rd nr Napper St,None,338803,6244115,Bus station,396,1,1,BUS_STOP,535,0
326,86543,Randwick_ Bundock St nr Canberra St,None,337624,6244475,Bus station,402,1,1,BUS_STOP,534,0
327,86544,Pagewood_ Bunnerong Rd opp Snape St,None,336430,6243750,Bus station,403,1,1,BUS_STOP,532,0
328,86545,Kingsford_ Bunnerong Rd nr Snape St,None,336441,6243822,Bus station,403,1,1,BUS_STOP,532,0
329,86546,Pagewood_ Bunnerong Rd nr Prince Edward Cr,None,336396,6243933,Bus station,403,1,1,BUS_STOP,532,0
330,86547,Kingsford_ Bunnerong Rd opp Prince Edward Cir,None,336393,6244023,Bus station,403,1,1,BUS_STOP,532,0
331,86553,Daceyville_ Bunnerong Rd nr Joffre Cr,None,336321,6244302,Bus station,417,1,1,BUS_STOP,532,0
332,86554,Kingsford_ Bunnerong Rd nr Daceyville Primary,None,336344,6244270,Bus station,417,1,1,BUS_STOP,532,0
333,86555,Kingsford_ Bunnerong Rd nr Apsley Av,None,336325,6244361,Bus station,417,1,1,BUS_STOP,532,0
334,86556,Kingsford_ Anzac Pde nr Botany St,None,336696,6244360,Bus station,418,1,1,BUS_STOP,532,0
335,86565,South Coogee_ Elphinstone Rd opp Iluka Pl,None,338539,6244184,Bus station,423,1,1,BUS_STOP,536,0
336,86566,South Coogee_ Elphinstone Rd nr Wauhope Cr,None,338409,6244254,Bus station,423,1,1,BUS_STOP,536,0
337,86567,South Coogee_ Elphinstone Rd nr Yamba Pl,None,338446,6244251,Bus station,423,1,1,BUS_STOP,536,0
338,86568,South Coogee_ Elphinstone Rd nr Iluka Pl,None,338510,6244213,Bus station,423,1,1,BUS_STOP,536,0
339,86569,South Coogee_ Elphinstone Rd opp Uralla Pl,None,338310,6244348,Bus station,423,1,1,BUS_STOP,536,0
340,86570,South Coogee_ Elphinstone Rd nr Uralla Pl,None,338299,6244384,Bus station,423,1,1,BUS_STOP,536,0
341,86581,South Coogee_ Arden St nr Malabar Rd,None,338729,6244410,Bus station,441,1,1,BUS_STOP,535,0
342,86582,South Coogee_ Arden St nr Malabar Rd,None,338716,6244419,Bus station,441,1,1,BUS_STOP,535,0
343,86588,Kingsford_ Avoca St opp Burbong St,None,337192,6244216,Bus station,446,1,1,BUS_STOP,533,0
344,86589,Kingsford_ Avoca St nr Araluen St,None,337171,6244232,Bus station,446,1,1,BUS_STOP,530,0
345,86590,Kingsford_ Anzac Pde nr Paton St,None,336941,6244269,Bus station,446,1,1,BUS_STOP,530,0
346,86595,Randwick_ Bundock St nr Ellen St,None,337822,6244471,Bus station,457,1,1,BUS_STOP,534,0
347,86596,Randwick_ Bundock St opp Ellen St,None,337833,6244450,Bus station,457,1,1,BUS_STOP,534,0
348,86597,Randwick_ Canberra St nr Bundock St,None,337624,6244514,Bus station,457,1,1,BUS_STOP,534,0
349,86598,Randwick_ Oberon St opp Henry St,None,337903,6244769,Bus station,457,1,1,BUS_STOP,528,0
350,86599,Randwick_ Canberra St nr Oberon St,None,337665,6244783,Bus station,457,1,1,BUS_STOP,528,0
351,86600,Randwick_ Canberra St nr Oberon St,None,337653,6244809,Bus station,457,1,1,BUS_STOP,528,0
352,86601,Randwick_ Oberon St nr Canberra St,None,337722,6244802,Bus station,457,1,1,BUS_STOP,528,0
353,86602,South Coogee_ Bundock St nr Hendy St,None,338075,6244434,Bus station,457,1,1,BUS_STOP,534,0
354,86603,South Coogee_ Bundock St nr HendySt,None,338064,6244413,Bus station,457,1,1,BUS_STOP,534,0
355,86604,Coogee_ Oberon St nr Hendy St,None,338116,6244715,Bus station,457,1,1,BUS_STOP,531,0
356,86605,Coogee_ Oberon St nr Higgs St,None,338031,6244758,Bus station,457,1,1,BUS_STOP,531,0
